DATAFLOW,LAST UPDATE,freq,unit,coicop,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:PRC_HICP_MIDX(1.0),02/03/22 11:00:00,M,I05,CP00,EU28,2004-06,97.98,
ESTAT:PRC_HICP_MIDX(1.0),02/03/22 11:00:00,M,I05,CP00,EU28,2004-07,97.81,
ESTAT:PRC_HICP_MIDX(1.0),02/03/22 11:00:00,M,I05,CP00,EU28,2004-08,97.97,
ESTAT:PRC_HICP_MIDX(1.0),02/03/22 11:00:00,M,I05,CP00,EU28,2004-09,98.11,
ESTAT:PRC_HICP_MIDX(1.0),02/03/22 11:00:00,M,I05,CP00,EU28,2004-10,98.49,
ESTAT:PRC_HICP_MIDX(1.0),02/03/22 11:00:00,M,I05,CP00,EU28,2004-11,98.48,
ESTAT:PRC_HICP_MIDX(1.0),02/03/22 11:00:00,M,I05,CP00,EU28,2004-12,98.84,
ESTAT:PRC_HICP_MIDX(1.0),02/03/22 11:00:00,M,I05,CP00,EU28,2005-01,98.34,
ESTAT:PRC_HICP_MIDX(1.0),02/03/22 11:00:00,M,I05,CP00,EU28,2005-02,98.68,
ESTAT:PRC_HICP_MIDX(1.0),02/03/22 11:00:00,M,I05,CP00,EU28,2005-03,99.30,
ESTAT:PRC_HICP_MIDX(1.0),02/03/22 11:00:00,M,I05,CP00,EU28,2005-04,99.74,
ESTAT:PRC_HICP_MIDX(1.0),02/03/22 11:00:00,M,I05,CP00,EU28,2005-05,99.98,
ESTAT:PRC_HICP_MIDX(1.0),02/03/22 11:00:00,M,I05,CP00,EU28,2005-06,100.08,
ESTAT:PRC_HICP_MIDX(1.0),02/03/22 11:00:00,M,I05,CP00,EU28,2005-07,100.03,
ESTAT:PRC_HICP_MIDX(1.0),02/03/22 11:00:00,M,I05,CP00,EU28,2005-08,100.25,
ESTAT:PRC_HICP_MIDX(1.0),02/03/22 11:00:00,M,I05,CP00,EU28,2005-09,100.71,
ESTAT:PRC_HICP_MIDX(1.0),02/03/22 11:00:00,M,I05,CP00,EU28,2005-10,100.97,
ESTAT:PRC_HICP_MIDX(1.0),02/03/22 11:00:00,M,I05,CP00,EU28,2005-11,100.82,
ESTAT:PRC_HICP_MIDX(1.0),02/03/22 11:00:00,M,I05,CP00,EU28,2005-12,101.11,
ESTAT:PRC_HICP_MIDX(1.0),02/03/22 11:00:00,M,I05,CP00,EU28,2006-01,100.74,
ESTAT:PRC_HICP_MIDX(1.0),02/03/22 11:00:00,M,I05,CP00,EU28,2006-02,101.04,
ESTAT:PRC_HICP_MIDX(1.0),02/03/22 11:00:00,M,I05,CP00,EU28,2006-03,101.52,
ESTAT:PRC_HICP_MIDX(1.0),02/03/22 11:00:00,M,I05,CP00,EU28,2006-04,102.17,
ESTAT:PRC_HICP_MIDX(1.0),02/03/22 11:00:00,M,I05,CP00,EU28,2006-05,102.53,
ESTAT:PRC_HICP_MIDX(1.0),02/03/22 11:00:00,M,I05,CP00,EU28,2006-06,102.64,
ESTAT:PRC_HICP_MIDX(1.0),02/03/22 11:00:00,M,I05,CP00,EU28,2006-07,102.54,
ESTAT:PRC_HICP_MIDX(1.0),02/03/22 11:00:00,M,I05,CP00,EU28,2006-08,102.71,
ESTAT:PRC_HICP_MIDX(1.0),02/03/22 11:00:00,M,I05,CP00,EU28,2006-09,102.75,
ESTAT:PRC_HICP_MIDX(1.0),02/03/22 11:00:00,M,I05,CP00,EU28,2006-10,102.84,
ESTAT:PRC_HICP_MIDX(1.0),02/03/22 11:00:00,M,I05,CP00,EU28,2006-11,102.94,
ESTAT:PRC_HICP_MIDX(1.0),02/03/22 11:00:00,M,I05,CP00,EU28,2006-12,103.34,
ESTAT:PRC_HICP_MIDX(1.0),02/03/22 11:00:00,M,I05,CP00,EU28,2007-01,102.89,
ESTAT:PRC_HICP_MIDX(1.0),02/03/22 11:00:00,M,I05,CP00,EU28,2007-02,103.23,
ESTAT:PRC_HICP_MIDX(1.0),02/03/22 11:00:00,M,I05,CP00,EU28,2007-03,103.85,
ESTAT:PRC_HICP_MIDX(1.0),02/03/22 11:00:00,M,I05,CP00,EU28,2007-04,104.44,
ESTAT:PRC_HICP_MIDX(1.0),02/03/22 11:00:00,M,I05,CP00,EU28,2007-05,104.72,
ESTAT:PRC_HICP_MIDX(1.0),02/03/22 11:00:00,M,I05,CP00,EU28,2007-06,104.85,
ESTAT:PRC_HICP_MIDX(1.0),02/03/22 11:00:00,M,I05,CP00,EU28,2007-07,104.58,
ESTAT:PRC_HICP_MIDX(1.0),02/03/22 11:00:00,M,I05,CP00,EU28,2007-08,104.71,
ESTAT:PRC_HICP_MIDX(1.0),02/03/22 11:00:00,M,I05,CP00,EU28,2007-09,105.10,
ESTAT:PRC_HICP_MIDX(1.0),02/03/22 11:00:00,M,I05,CP00,EU28,2007-10,105.64,
ESTAT:PRC_HICP_MIDX(1.0),02/03/22 11:00:00,M,I05,CP00,EU28,2007-11,106.18,
ESTAT:PRC_HICP_MIDX(1.0),02/03/22 11:00:00,M,I05,CP00,EU28,2007-12,106.63,
ESTAT:PRC_HICP_MIDX(1.0),02/03/22 11:00:00,M,I05,CP00,EU28,2008-01,106.40,
ESTAT:PRC_HICP_MIDX(1.0),02/03/22 11:00:00,M,I05,CP00,EU28,2008-02,106.86,
